Vacancy,Employer,Location
 დამლაგებელი - ღამის საათებში ,Sakhelosno BAR, თბილისი 
 კორპორატიული გაყიდვების სპეციალისტი ,დასაქმების სააგენტო ეიჩარი, თბილისი 
 კონსულტანტი ,თოლია, თბილისი 
 საწყობისა და სათადარიგო ნაწილების უმცროსი სპეციალისტი ,EGT Georgia, თბილისი 
 ქოლ-ცენტრის ოპერატორი/ონლაინ მხარდაჭერის უმცროსი სპეციალისტი ,EGT Georgia, თბილისი 
 დასუფთავების მენეჯერი ,პრაიმქლინინგ, თბილისი 
 ავტომატიზაციის სისტემების სპეციალისტი ,აი-სი ჰოლდინგი, მცხეთა 
 საწარმო დანადგარის ოპერატორი ,აი-სი ჰოლდინგი, მცხეთა 
 ბეტონის ინდუსტრიული იატაკის სამუშაოთა მწარმოებლი ,აი-სი ჰოლდინგი, თბილისი 
 მენეჯერი ,ფ.პ თათია ჯორბენაძე, თბილისი 
 დამლაგებელი ,ფ.პ თათია ჯორბენაძე, თბილისი 
 მომსახურე პერსონალი / კონსულტანტი მზარეული ,Lumier's Chimney Cake, თბილისი 
 помічника/харчового технолога ,სანს გრუფ, თბილისი 
 გაყიდვების მენეჯერი ,მეტი+, თბილისი 
 რეგისტრატორი/საღამოს ცვლა ,თოდუას კლინიკა, თბილისი 
 მენეჯერი ,ბაგინეთი, მცხეთა 
 მოლარე-კონსულტანტი ,უნივერსამი, თბილისი 
 საწარმოს მოხელე ,ფაბრიკონი, თბილისი 
 მემონტაჟე ,ფაბრიკონი, თბილისი 
 ჩინური თარჯიმანი ,ჩინეთის გზებისა და ხიდების კორპორაციის საქართველოს ფილიალი, წნორი 
 ბარმენი ,ART HOUSE, თბილისი 
 მიმტანი ,ART HOUSE, თბილისი 
 მზარეული ,ART HOUSE, თბილისი 
 კურიერი ,Glovo, ფოთი 
 გლოვერი / კურიერი ,Glovo, თბილისი 
 გლოვერი/კურიერი ,Glovo, გორი 
 კურიერი ,Glovo, ბათუმი 
 Instock Specialist ,Glovo, თბილისი 
 MFC Assortment Analyst ,Glovo, თბილისი 
 რესტორნის მენეჯერი ,რესტორანი ვარდო, თბილისი 
 ტვირთების დაგეგმარების ოპერატორი ,ემ თი ჯი, თბილისი 
 ქოლ-ცენტრის ოპერატორი ,ემ თი ჯი, თბილისი 
 მთავარი მზარეული/დამხმარე მზარეული ,სულიკო, თბილისი 
 Community Manager ,Finance Makers, თბილისი 
 Financial Markets Analyst/Writer ,Finance Makers, თბილისი 
 Marketing Manager ,Finance Makers, თბილისი 
 უძრავი ქონების ბროკერი / ოპერატორი ,დეველოპ ინვესტინგ ინ ჯორჯია, თბილისი 
 მეღორეობის კომპლექსის თანამშრომელი ასურეთში ,აშენდი აგრო საქართველო," თეთრიწყარო, "
 მაღაზიის მენეჯერი ,Dressup Group, თბილისი 
 კონსულტანტი ,Dressup Group, თბილისი 
 კონსულტანტი/ნახევარი განაკვეთი ,Dressup Group, თბილისი 
 გერმანულენოვანი ქოლ-ცენტრის ოპერატორი / მომხმარებელთა მომსახურების წარმომადგენელი ,CMX Solutions, თბილისი 
 Java პროგრამისტი ,ლიდერბეთი, თბილისი 
 მონაცემთა ბაზების ადმინისტრატორის/DBA ,ლიდერბეთი, თბილისი 
 React პროგრამისტი ,ლიდერბეთი, თბილისი 
 პროგრამული უზრუნველყოფის ტესტერი ,ლიდერბეთი, თბილისი 
 Network Engineer ,ლიდერბეთი, თბილისი 
 რესტორნის მოლარე-კონსულტანტი/მზარეული ,KFC, თბილისი 
 ქოლ-ცენტრის ოპერატორი ,გრინ ნეთვორქსი," ხაშური, "
 გაყიდვების მენეჯერი ,საქართველოს ინვენტარი, თბილისი 
 Business Development Director ,დასტა რექორდს მენეჯმენტი, თბილისი 
 დისტრიბუტორი /პრისეილერი-მერჩენდაიზერი ,ბუდგეთ," თბილისი, "
 საცალო გაყიდვების სპეციალისტი ლილო მოლში ,Wishlist.ge, თბილისი 
 ადმინისტრატორი ,მედიკალ გრუპი, თბილისი 
 ტექნიკოსი ,ბს/2 ჯორჯია, თბილისი 
 AML შესაბამისობის განყოფილების უფროსი ,ლიდერბეთი, თბილისი 
 მიმტანი ,რესტორანი ფუნიკულიორი, თბილისი 
 Guest Service Specialist ,ეპიზოდი თბილისი, თბილისი 
 შესყიდვების მენეჯერი ,ეპიზოდი თბილისი, თბილისი 
 შენობის ექსპლუატაციის სპეციალისტი ,პროკრედიტ ბანკი, თბილისი 
 მოლარე ოპერატორი/მიმტანი ქუთაისში ,კაზინო კრისტალბეთი, ქუთაისი 
 პრისეილერი ,თორიჯორჯია, თბილისი 
 მოლარე/კონსულტანტი ,ევროპროდუქტი, თბილისი 
 English Speaking Customer Service Representative ,DSPRO, თბილისი 
 Full Stack Software Engineer ,Universal Transit, თბილისი 
 უძრავი ქონების აგენტი ,დორაგრუპი, თბილისი 
 Call center Telemedicine Service Representative/English Speaking/Night shift ,GHS Consulting, თბილისი 
 გამყვანი ტურიზმის გაყიდვების უფროსი მენეჯერი ,იორ ფოინთ, თბილისი 
 გამყვანი ტურიზმის ავიაბილეთების ოპერატორი ,იორ ფოინთ, თბილისი 
 სამედიცინო სახარჯი მასალების და აპარატურის შესყიდვების მენეჯერი ,მედ თრეიდერი, თბილისი 
 პრობლემური აქტივების მენეჯერი ,ტრიბა, თბილისი 
 მზარეული ,ბარბარესგან, თბილისი 
 ინვენტორული მენეჯერი ,რესტორანი ეთნოგრაფი, თბილისი 
 ღია კონკურსი მენეჯმენტის მიმართულებაში ,ბათუმის ნავიგაციის სასწავლო უნივერსიტეტი, თბილისი 
 ტექნიკოსი/სტაჟირება დასაქმების პერსპექტივით ,ჰიდროსკანდი, თბილისი 
 E-commerce მენეჯერის დამხმარე ,Marketing & E-commerce, თბილისი 
 მოლარე-კონსულტანტი ,იოლის სუპერმარკეტების ქსელი, თბილისი 
 ადმინისტრატორი ,იოლის სუპერმარკეტების ქსელი, თბილისი 
 Graphic Designer ,Icecrown, ბათუმი 
 გაყიდვების კონსულტანტი ,ჯაოკენი, თბილისი 
 SLOT ოპერატორი ,სამორინე ამბასადორი, თბილისი 
 ბარმენი ,სამორინე ამბასადორი, თბილისი 
 ჰოსტესი ,სამორინე ამბასადორი, თბილისი 
 მიმტანი ,სამორინე ამბასადორი, თბილისი 
 სფეის მენეჯერი ,betlive.club, თბილისი 
 დამლაგებელი ,betlive.club, თბილისი 
 ბარმენის დამხმარე ,betlive.club, თბილისი 
 ბარმენი ,betlive.club, თბილისი 
 მონიტორინგის სპეციალისტი ,betlive.club, თბილისი 
 დაცვის თანამშრომელი ,betlive.club, თბილისი 
 დისტრიბუტორი ,პოულტრი ჯორჯია, თბილისი 
 KA/GT Manager ,გაგრა პლუსი, ბათუმი 
 ბუღალტერი ,ჩინეთის გზებისა და ხიდების კორპორაციის საქართველოს ფილიალი, თბილისი 
 პროდუქციის მენეჯერი/სამედიცინო წარმომადგენელი ,ლაიფლაინი, თბილისი 
 ექიმის - წამყვანი სპეციალისტის თანაშემწე ,ემ-ემ-ტე ჰოსპიტალი, თბილისი 
 მოლარე - ოპერატორი ,შაომი საქართველო, თბილისი 
 ჯუსერი ,SKA Juice Bar, თბილისი 
 დირექტორის ასისტენტი ,Gamarjoba Georgia Tours, თბილისი 
 მიმტანი ,რესტორანი ეზო, თბილისი 
 უსაფრთხოების განყოფილების ხელმძღვანელი ,სასტუმრო - იოტა, თბილისი 
 Sales Data and Consumer Insights Analyst ,Financial Chain Corporation, თბილისი 
 საწყობის თანამშრომელი ,Wishlist.ge, თბილისი 
 საცალო გაყიდვების სპეციალისტი ,Wishlist.ge, თბილისი 
 საწყობის ოპერატორი ,Wishlist.ge, თბილისი 
 გაყიდვების კონსულტანტი ,სალამანდრა, თბილისი 
 ექიმის ასისტენტი / მედდა ,სტომატოლოგიური კლინიკა ინდიგო, თბილისი 
 მძღოლი ,Атенк ООО, თბილისი 
 მიმტანი ,რესტორანი ადრე, თბილისი 
 ბარმენი ,კუთხე, თბილისი 
 სოციალური მედია მენეჯერი ,კ-მოტორსი, თბილისი 
 მოლარე - კონსულტანტი ,სამკაულების მაღაზიების ქსელი Redberry, თბილისი 
 Employee In The Office ,ფაჟერ ელ ხალიჟ 2, თბილისი 
 ექიმი ,თოდუას კლინიკა, თბილისი 
 Travel Support Agent with German ,Concentrix, თბილისი 
 მოლარე-კონსულტანტი ,სკხ ს2, თბილისი 
 საბითუმო გაყიდვების მენეჯერი ,World Chess, თბილისი 
 საწარმოს დანადგარის ოპერატორი ,ბრედფილდი, თბილისი 
 მძღოლი ,მზიური, თბილისი 
 მაღაზიის მენეჯერი ,უნივერსამი, თბილისი 
 ღამის მოლარე- კონსულტანტი​/მოლარე-კონსულტანტი ,უნივერსამი, თბილისი 
 მოლარე-კონსულტანტი/მენეჯერი ,სუპერმარკეტი ბილმარტი, თბილისი 
 კომერციული დირექტორი ,ასკანელი, თბილისი 
 კონსულტანტი-ბარისტა ,სისაური გრაინდერს, თბილისი 
 შემომყვანი ტურ ოპერატორი ,ვოიაჟერ 365, თბილისი 
 1C პროგრამის ბუღალტერ-ოპერატორი ,კომპანია ორბიტა, თბილისი 
 მიმტანი ,გასტრონომიული დუქანი რიგი, თბილისი 
 მაგნიტურ-რეზონანსული ტომოგრაფიის განყოფილების ექთანი ,თოდუას კლინიკა, თბილისი 
 მოლარე - კონსულტანტი ,ივ როშე, თბილისი 
 გაყიდვების კონსულტანტი რეგიონებში ,საქართველოს ბანკი," ბათუმი, "
 გაყიდვების კონსულტანტი ,საქართველოს ბანკი, თბილისი 
 კონსულტანტი ,საქართველოს ბანკი, თბილისი 
 მენეჯერი-ოპერატორი ,მოლისანის კლინიკა, თბილისი 
 მ.დ.ფ  კარებისა და ავეჯის წარმოებაში ხელოსანი ,ჯეო ჰაუსი," გარდაბანი, "
 მოლარე ,მაღაზიათა ქსელი სუვენირ ცენტრი, თბილისი 
 მოლარე-კონსულტანტი ,მაღაზიათა ქსელი სუვენირ ცენტრი, თბილისი 
 Junior QA Tester / Junior Programmer ,Patolomius Technology, თბილისი 
 Experienced DevOps Engineer ,Patolomius Technology, თბილისი 
 მარკეტინგის მენეჯერი/ბიზნეს განვითარების მენეჯერი ,Gamarjoba Georgia Tours, თბილისი 
 უძრავი ქონების აგენტი ,Geo Realtor, თბილისი 
 კლიენტთა მომსახურების ასისტენტი ,დასაქმების სააგენტო ეიჩარი, თბილისი 
 გაყიდვების მენეჯერი ,Caucas Transport Solutions, თბილისი 
 ოჯახის ექიმის/თერაპევტი ,მოლისანის კლინიკა," თბილისი, "
 Spotify Back Office Specialist with Spanish and English ,Concentrix, თბილისი 
 მთარგმნელი/თარგმნის მომსახურება ,Savvy Consulting, თბილისი 
 დიასახლისი ,სასტუმრო ღვინის სასახლე, თბილისი 
 მძღოლებთან კომუნიკაციის კოორდინატორი ,Universal Transit, თბილისი 
 შესყიდვების მენეჯერი ,Women’Secret / Cortefiel / Pedro Del Hierro, თბილისი 
 კონსულტანტი ,Women’Secret / Cortefiel / Pedro Del Hierro, თბილისი 
 დანადგარის ოპერატორი / მექანიკოსი ,იმპოჯორჯია, თბილისი 
 მუშა საგურამოში ,CAMPA," მცხეთა, "
 ქოლ-ცენტრის ოპერატორი ,თოდუას კლინიკა, თბილისი 
 IT HelpDesk Technican ,არესემ საქართველო, თბილისი 
 სავაჭრო წარმომადგენელი/პრისეილერი ,მზიური, ბათუმი 
 დისტრიბუტორი ,მზიური, თბილისი 
 პრისეილერი ,მზიური, თბილისი 
 Tiktok video creator account management for Gambling NFT project ,Global Marketing Connection, თბილისი 
 რეგიონალური მენეჯერი ,ვეტერინარული კომპანია ინვეტი, თბილისი 
 Customer Service Trainer/Quality assurance ,TAZE Technologies, თბილისი 
 კონსულტანტი ,სლაში ჯორჯია, ქუთაისი 
 ოპერაციების მენეჯერი ,Glovo, თბილისი 
 მარკეტინგის უფროსი ანალიტიკოსი ,Glovo, თბილისი 
 საცალო ვაჭრობის მენეჯერი ,Glovo, თბილისი 
 ოპერაციების ანალიტიკოსი ,Glovo, თბილისი 
 მზარეულის დამხმარე ,ეპიზოდი თბილისი, თბილისი 
 მზარეული ,ეპიზოდი თბილისი, თბილისი 
 მოლარე-კონსულტანტი / დიასახლისი ,სუპერმარკეტი ბილმარტი, თბილისი 
 Front-end/React JS დეველოპერი ,პროკრედიტ ბანკი, თბილისი 
 უძრავი ქონების აგენტი ,ჯორჯია ბროკერი, თბილისი 
 ბარისტა ,Gloria Jean’s Coffees Georgia, თბილისი 
 Assistant ,Sonicfast, თბილისი 
 ბარმენი ,Dinehall, თბილისი 
 KA ოპერატორი ,Agro Food Trade, თბილისი 
 სუ შეფი/მზარეული ,Luciano, თბილისი 
 სამუშაოთა მწარმოებელი ,სამშენებლო კომპანია ერისიმედი, დუშეთი 
 გაყიდვების მენეჯერი ,ევროპის ბიზნეს სკოლა და კონსალტინგი, თბილისი 
 გაყიდვების მენეჯერი ,City Luxe, თბილისი 
 ქოლ-ცენტრის ოპერატორი ,City Luxe, თბილისი 
 ადმინისტრატორი ,Hotel Beli, თბილისი 
 მოლარე-ოპერატორი ,საქართველოს ბანკი," რუსთავი, "
 ქოლ-ცენტრის ოპერატორი ,მკითხველთა კლუბი, თბილისი 
 დაცვა/უსაფრთხოების თანამშრომელი ,სითი მოლი, თბილისი 
 Waiter/Waitress ,Cafe Grill, თბილისი 
 გაყიდვების კონსულტანტი ,საგა იმპექსი, ბათუმი 
 საწყობის თანამშრომელი ,Agro Food Trade, თბილისი 
 მოლარე-კონსულტანტი ,წისქვილი ბაზარი, თბილისი 
 მარკეტის ადმინისტრატორი ,წისქვილი ბაზარი, თბილისი 
 მძღოლ-ექსპედიტორი ,Agro Food Trade, თბილისი 
 მიმტანი-ოპერატორი ,betlive.club, თბილისი 
 ბარმენის დამხმარე ,betlive.club, თბილისი 
 უძრავი ქონების აგენტი ,Seeker, თბილისი 
 პროფესიის შესწავლა-დასაქმება ,ავეჯის დამამზადებელი კომპანია გრანდი, თბილისი 
 მზარეულის დამხმარე ,სუში რუმ, თბილისი 
 მომსახურე პერსონალი ,სუში რუმ, თბილისი 
 სივრცის კონსულტანტი ,თოდუას კლინიკა, თბილისი 
 მარკეტინგის მენეჯერი ,კომპანია ორბიტა, თბილისი 
 ბიზნეს ანალიტიკოსი ,კომპანია ორბიტა, თბილისი 
 React დეველოპერი ,სოლუშენს2შეარ ჯორჯია, თბილისი 
 C# დეველოპერი ,სოლუშენს2შეარ ჯორჯია, თბილისი 
 ფინანსური ანალიტიკოსი ,საგა იმპექსი, თბილისი 
 კლიენტების მომსახურების მენეჯერი ,Next Group, ბათუმი 
 პროექტის მენეჯერი ,Next Group, ბათუმი 
 ოფისის მენეჯერი ,Next Group, ბათუმი 
 მკერავი ,ანაბეჭდი, თბილისი 
 გამომჭრელ-კონსტრუქტორი ,ანაბეჭდი, თბილისი 
 მარაგების კონტროლის გუნდის ხელმძღვანელი ,Retail Group Georgia, თბილისი 
 გაყიდვების კონსულტანტი ,Retail Group Georgia, თბილისი 
 Java Developer ,Affiliate Marketing კომპანია, თბილისი 
